源文件名,中文字符串,Chinese string
\KFCK.ThicknessMeter.Shared\AppSettings.cs,外设参数,Peripheral parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,外部XRay控制器目标管电压，单位：V，浮点数。,"External XRay controller target tube voltage, unit: V, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,外设参数,Peripheral parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,外部XRay控制器目标管电流，单位：uA，浮点数。,"External XRay controller target tube current, unit: uA, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,外设参数,Peripheral parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,是否允许输出外部XRay控制器调试信息，是：True，否：False。,"Whether to allow the output of external XRay controller debugging information, yes: True, no: False."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光信号值偏移数量，整数。,"Laser signal value offset amount, integer."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光原始分辨率大小，单位：毫米。,"Laser native resolution size, unit: mm."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光光斑半径大小，单位：毫米，浮点数。,"Laser spot radius, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光原始数据分区大小，单位：毫米，浮点数。,"Laser raw data partition size, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光削薄区数据分区大小，单位：毫米，浮点数。,"The size of the laser thinning area data partition, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光图表控件分区大小（单位：毫米），留空时 代表使用文件分区大小作为图表控件分区大小。,"Laser chart control partition size (unit: mm). If left blank, it means using the file partition size as the chart control partition size."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光图表控件削薄区分区大小（单位：毫米），留空时 代表使用削薄区文件分区大小作为削薄区图表控件分区大小。,"The size of the thinning area partition of the laser chart control (unit: mm). If left blank, it means using the thinning area file partition size as the thinning area chart control partition size."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光基材边缘过滤半径，单位：毫米,"Laser substrate edge filter radius, unit: mm"
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光设备特征参数，用于位置纠偏,Laser equipment characteristic parameters for position correction
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光高斯滤波-窗口大小（整数值）,Laser Gaussian filter-window size (integer value)
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光高斯滤波-标准差,Laser Gaussian Filter-Standard Deviation
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,是否允许开启激光定向滤波功能，是：True，否：False。,"Whether to enable the laser directional filtering function, yes: True, no: False."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光定向高斯滤波脚本,Laser directional Gaussian filtering script
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光定向高斯滤波从边界点开始跳过的宽度，单位：毫米，浮点数。,"The width that the laser directional Gaussian filter skips from the boundary point, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光数据横向偏移，当此值为正时，正向趟向右偏，负向趟向左偏移，单位：毫米。,"The laser data is offset horizontally. When this value is positive, the positive direction deviates to the right, and the negative direction deviates to the left. The unit is millimeter."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光是否允许小波去噪，是：True，否：False。,"Whether the laser allows wavelet denoising, yes: True, no: False."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,处理宽度，一般代指激光真实光斑大小，单位：毫米。,"Processing width generally refers to the actual laser spot size, unit: millimeter."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道自动校正寻峰参数算法支持探测的最小峰值大小，浮点数。,"The laser channel automatic correction peak search parameter algorithm supports the minimum peak size detected, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道基材寻峰下限，浮点数。,"The lower limit of the laser channel substrate peak search, a floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道涂层寻峰下限，浮点数。,"Laser channel coating peak search lower limit, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道单双面边交界处寻峰下限，浮点数。,"The lower limit of the peak search at the junction of the single-sided and double-sided edges of the laser channel, a floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光峰宽限制，当峰宽小于此值时，不认为是一个独立的峰，单位：毫米，浮点数。,"Laser peak width limit. When the peak width is smaller than this value, it is not considered as an independent peak. Unit: millimeter, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,"
激光边界检测模式：
    Normal, 正常模式（使用探测器信号值检测，可检测出极片边）
    FixedColorTagger, 固定色标模式（使用单一色标固定在来料侧托辊上进行过滤，并配合信号值检测基材边方式，无法检测出极片边，仅支持单道间歇涂布）
    Valley, 波谷定制模式（使用探测器信号值检测，取极片上凹陷形态的数据，而不是突出形态的数据）
    FixedValuesBySubstrate, 相对于基材的固定值列表（使用配方中用户设定的留白/膜区宽度列表确定边界位置，起始位置相对于基材，仅支持连续涂布）
    AdvancedFixedValuesBySubstrate, 相对于基材的高级固定值列表（使用配方中用户设定的留白/膜区宽度列表初步确定边界位置，并在这些位置的附近使用探测器信号值查找更准确的位置，起始位置相对于基材，仅支持连续涂布）
    MovingColorTagger, 移动色标模式（使用与探测器固定在一起的移动色标来进行寻边，不支持单双面边检测）
    OnlySubstrate, 仅基材模式（使用探测器信号值检测最外侧边【使用基材寻峰参数】，将检测到的边视为基材涂层混合边）
    AutoMode, 自动模式（对于连续涂布和不走带时，认为没有头尾，基于基材宽度、涂层宽度自动判别各个峰值点及对应的特性来确定边界点性质，否则，认为有头尾，如果固定色标存在，走固定色标模式，否则，认为是连续涂布直接全部保留。）
","Laser boundary detection mode: Normal, normal mode (using the detector signal value detection, the edge of the pole piece can be detected) FixedColorTagger, fixed color tag mode (using a single color tag fixed on the incoming side roller for filtering, and cooperating with the signal value to detect the substrate edge. The pole piece edge cannot be detected, and only single-pass intermittent coating is supported) Valley, valley customization mode (using the detector signal value detection, taking the data of the concave shape on the pole piece instead of the protruding shape) FixedValuesBySubstrate, a fixed value list relative to the substrate (using the blank/film area width list set by the user in the recipe to determine the boundary position, the starting position is relative to the substrate, and only continuous coating is supported) AdvancedFixedValuesBySubstrate, an advanced fixed value list relative to the substrate (using the blank/film area width list set by the user in the recipe to preliminarily determine the boundary position, and use the detector signal value near these positions to find a more accurate position, the starting position is relative to the substrate, and only continuous coating is supported) MovingColorTagger, moving color tag mode (using the moving color tag fixed to the detector to find the edge, single-sided and double-sided edge detection is not supported) OnlySubstrate, Substrate-only mode (use the detector signal value to detect the outermost edge [use the substrate peak search parameter], and regard the detected edge as a substrate-coating mixed edge) AutoMode, automatic mode (for continuous coating and no tape running, it is considered that there is no head or tail, and each peak point and the corresponding characteristics are automatically determined based on the substrate width and coating width to determine the nature of the boundary point. Otherwise, it is considered to have a head or tail. If a fixed color mark exists, the fixed color mark mode is used. Otherwise, it is considered to be continuous coating and all are retained directly.)"
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,是否允许激光通道开启寻边智能纠偏算法，是：True，否：False。,"Whether to allow the laser channel to start the edge-finding intelligent correction algorithm, yes: True, no: False."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道寻边智能纠偏算法相似度比较半径，单位：毫米，浮点数。,"Similarity comparison radius of the laser channel edge-finding intelligent deviation correction algorithm, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,在高级固定值列表寻边方案下，自动找更准确的位置时的搜索半径大小，同时也是激光分离信号分别寻边时的搜索范围，单位：毫米，浮点数。,"In the advanced fixed value list edge search scheme, the search radius size for automatically finding a more accurate position is also the search range when the laser separation signal is separately searching for edges. Unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光中位数滤波宽度，单位：毫米，浮点数。,"Laser median filter width, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光均值滤波宽度，单位：毫米，浮点数。,"Laser mean filter width, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,是否移除激光通道无意义点，是：True，否：False,"Whether to remove meaningless points in the laser channel, yes: True, no: False"
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道无意义点下界值（低于该值视为无意义）,The lower limit of the meaningless point of the laser channel (below this value is considered meaningless)
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道系数K，浮点数。,"Laser channel coefficient K, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道系数B，浮点数。,"Laser channel coefficient B, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道2系数K，浮点数。,"Laser channel 2 coefficient K, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道2系数B，浮点数。,"Laser channel 2 coefficient B, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道3系数K，浮点数。,"Laser channel 3 coefficient K, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道3系数B，浮点数。,"Laser channel 3 coefficient B, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道4系数K，浮点数。,"Laser channel 4 coefficient K, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道4系数B，浮点数。,"Laser channel 4 coefficient B, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,在激光设备存在时，是否启用激光信号跟踪功能，是：True，否：False。,"Whether to enable the laser signal tracking function when a laser device exists, yes: True, no: False."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光第一跟踪起始位置，单位：毫米，浮点数。,"The starting position of the first laser tracking, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光第一跟踪结束位置，单位：毫米，浮点数。,"The end position of the first laser tracking, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光第二跟踪起始位置，单位：毫米，浮点数。,"The starting position of the second laser tracking, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光第二跟踪结束位置，单位：毫米，浮点数。,"The second laser tracking end position, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光警报允许标准片测量到的最大变化率，超过此变化率，软件将报激光异常，浮点数。,"The laser alarm allows the standard film to measure the maximum rate of change. If this rate of change is exceeded, the software will report a laser abnormality and a floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,重置激光器的目标信号值。,Reset the target signal value of the laser.
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,重置激光器错容比率，默认值千分之一。,"Reset the laser fault tolerance ratio, the default value is one thousandth."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光重置最大重试次数，正整数。,"The maximum number of laser reset retries, a positive integer."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,固定激光模式下寻峰下限值。,Fixed the lower limit of peak search in laser mode.
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,固定激光模式下寻峰宽度限值，单位：毫米。,"Peak search width limit in fixed laser mode, unit: mm."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,固定激光模式报表分区大小，单位：毫米，浮点数。,"Fixed laser mode report partition size, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,固定激光模式涂布方向单片最大长度，单位：毫米，浮点数。,"The maximum length of a single piece in the coating direction of a fixed laser mode, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,固定激光模式实时扫描图分区大小，单位：毫米，浮点数。,"Fixed laser mode real-time scan image partition size, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光跟踪采集趟数（采集够N趟的数据就更新一次跟踪值），N为正整数。,"The number of laser tracking collection passes (the tracking value is updated once N passes of data are collected), where N is a positive integer."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,是否开启激光带通滤波，是：True，否：False。,"Whether to enable laser bandpass filtering, yes: True, no: False."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,以有效频率为分母，目标频率为分子的激光带阻范围小数表示，范围为(0-1]，样例：0.2-0.3;0.44-0.48,"The laser band stop range is expressed as a decimal with the effective frequency as the denominator and the target frequency as the numerator. The range is (0-1], example: 0.2-0.3; 0.44-0.48"
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光趟数据带通滤波系数，值越小带阻越大，浮点数，范围为[0-1]。,"The bandpass filter coefficient of laser data. The smaller the value, the larger the band stop. It is a floating point number in the range of [0-1]."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光原始报表带通滤波系数，值越小带阻越大，浮点数，范围为[0-1]。,"Laser raw report bandpass filter coefficient. The smaller the value, the larger the band stop. It is a floating point number in the range of [0-1]."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光标定采样周数，单位：Cycle，正整数。,"Laser calibration sampling cycles, unit: Cycle, positive integer."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,"
激光标准片第一组采样位置及对应厚度列表，格式为：标准片1起始位置-标准片1结束位置,标准片1厚度;标准片2起始位置-标准片2结束位置,标准片2厚度;...
    样例：24-103,160.2;150-180,170.3
    固定使用第二个标准片的厚度作为激光跟踪初始值
    固定使用第三个标准片作为标准片警报依据
"," The first set of sampling positions and corresponding thickness list of laser standard films, the format is: Standard film 1 starting position - standard film 1 end position, standard film 1 thickness; Standard film 2 starting position - standard film 2 end position, standard film 2 thickness;... Example: 24-103,160.2;150-180,170.3 The thickness of the second standard film is fixedly used as the initial value of laser tracking. The third standard film is fixedly used as the basis for standard film alarm."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,"
激光标注片第二组采样位置及对应厚度列表，格式为：标准片1起始位置-标准片1结束位置,标准片1厚度;标准片2起始位置-标准片2结束位置,标准片2厚度;...
    样例：24-103,160.2;150-180,170.3
","The second set of sampling positions and corresponding thickness list of laser-marked sheets, the format is: Standard sheet 1 starting position - Standard sheet 1 end position, Standard sheet 1 thickness; Standard sheet 2 starting position - Standard sheet 2 end position, Standard sheet 2 thickness;... Example: 24-103,160.2; 150-180,170.3"
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光标准片是否是可移动的，是：True，否：False。,"Whether the laser standard is removable, yes: True, no: False."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光可移动标准片宽度，单位：毫米，浮点数。,"Width of the laser movable standard sheet, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光可移动标准片宽度容差半径，单位：毫米，浮点数。,"The width tolerance radius of the laser movable standard piece, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光可移动标准片取样宽度，取样的中心为检测到的标准片位置中心，单位：毫米，浮点数。,"The sampling width of the laser movable standard piece. The sampling center is the detected center of the standard piece position. Unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光传感器1与激光传感器2之间的相对距离，单位：毫米，浮点数。,"The relative distance between laser sensor 1 and laser sensor 2, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,重置激光器位置1，单位：毫米，浮点数。,"Reset laser position 1, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,重置激光器位置2，单位：毫米，浮点数。,"Reset laser position 2, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光通道超限（非法）信号绝对值，激光通道信号的绝对值大于此值时，信号将被强制设置为0，浮点数，该值大于0时，起作用。,"The absolute value of the laser channel over-limit (illegal) signal. When the absolute value of the laser channel signal is greater than this value, the signal will be forced to be set to 0. It is a floating point number. When the value is greater than 0, it takes effect."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光第一标准片起始位置，单位：毫米，浮点数。,"The starting position of the first laser standard film, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光第一标准片结束位置，单位：毫米，浮点数。,"The end position of the first laser standard film, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光第二标准片起始位置，单位：毫米，浮点数。,"The starting position of the second laser standard film, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光第二标准片结束位置，单位：毫米，浮点数。,"End position of the second laser standard film, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,双激光头设备双头数据融合时的人工辅助信号偏移量，浮点数。,"The artificial auxiliary signal offset during dual-head data fusion of dual-head laser head equipment, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,是否允许通过标准片自动调整两激光头融合时的偏移量，是：True，否：False。,"Whether to allow automatic adjustment of the offset between the two laser heads when they are fused through the standard film, yes: True, no: False."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,双激光头设备双头数据下探头融合时的人工辅助信号偏移量，浮点数。,"The artificial auxiliary signal offset when the probes are fused under dual-head data of dual-laser head equipment, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光信号分离（A、B分别输出）模式下A头相对于B头的错位长度，即B头数据位置加上多少offset后，可以与A头对齐，单位：毫米，浮点数。,"The offset length of head A relative to head B in laser signal separation (A and B are output separately) mode, that is, the offset added to the data position of head B to align with head A, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,是否开启激光分离信号无效值过滤功能，是：True，否：False。,"Whether to enable the laser separation signal invalid value filtering function, yes: True, no: False."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光分离信号1的无效数据对应的值，浮点数。,"The value corresponding to the invalid data of laser separation signal 1, a floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光分离信号2的无效数据对应的值，浮点数。,"The value corresponding to the invalid data of laser separation signal 2, a floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光分离信号无效值的半径，在这个半径范围内视为无效，浮点数。,The radius of invalid values of laser separation signal. It is considered invalid within this radius. It is a floating point number.
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光在提取膜区平均信号时，用于过滤非法信号所用的标准差计算阈值（小于此值对应的数据有效）。,"When the laser extracts the average signal of the membrane area, it is used to filter out the standard deviation calculation threshold used for illegal signals (data smaller than this value are valid)."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光在判定削薄区结束位置时，与单面膜区均值的差值，浮点数。,"When the laser determines the end position of the thinning area, it is the difference between the average value of the single-sided film area, a floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光在判定削薄区结束位置时，与双面膜区均值的差值，浮点数。,"When the laser determines the end position of the thinning area, it is the difference between the average value of the double-sided film area, a floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光削薄区最大可能宽度。单位：毫米，浮点数。,"Maximum possible width of the laser thinned area. Unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光削薄区信号连续多少毫米都小于削薄区结束百分比所表示的厚度时认为已经稳定，单位：毫米，浮点数。,"The laser thinning zone signal is considered stable when the thickness represented by the thinning zone end percentage is continuously less than the thickness of the thinning zone for a certain number of millimeters. Unit: millimeter, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,单激光头寻边搜索半径，单位：毫米，浮点数。,"Edge search radius of a single laser head, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,单激光头寻边处理宽度，单位：毫米，浮点数。,"Single laser head edge processing width, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,单激光头A寻边寻峰下限，浮点数。,"Lower limit of edge and peak search for single laser head A, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,单激光头B寻边寻峰下限，浮点数。,"Lower limit of edge and peak search for single laser head B, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,单激光头A寻边峰宽下限，单位：毫米，浮点数。,"Lower limit of edge-seeking peak width of single laser head A, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,单激光头B寻边峰宽下限，单位：毫米，浮点数。,"Lower limit of edge-seeking peak width of single laser head B, unit: mm, floating point number."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
\KFCK.ThicknessMeter.Shared\AppSettings.cs,是否使用激光动态标准片位置，改方案仅支持普通激光设备，不支持双激光头设备！是：True，否：False。,"Whether to use the laser dynamic standard film position. This solution only supports ordinary laser equipment, not dual laser head equipment! Yes: True, No: False."
\KFCK.ThicknessMeter.Shared\AppSettings.cs,激光参数,Laser parameters
